instanceID, capacity, shortageCost, solutionValue, solutionTimeMs, statesExplored,instance,n_items,coeff_of_var
a6d41895303f692139fb443885575a8d834f39303bbe4b5e8c95b4e7dd64663e,469.97216703269294,10.0,596.5134119102552,3811,23496,P05_ALMOST_STRONGLY_CORRELATED,25,0.1
5ce3661be0ad6bace76d371c7b6dd3f6b55f97c477f75701b88e7f3644c92f47,515.9189618187869,10.0,670.6124453232416,3113,18842,P05_ALMOST_STRONGLY_CORRELATED,25,0.1
30a99cb3970ebf50d22b397437a227d3384124f89044f109152f09ce2242c7d9,669.2975149694981,10.0,832.8903875313384,3745,21592,P05_ALMOST_STRONGLY_CORRELATED,25,0.1
f51ddacb89a415acfd7ce322dace6c070197098055f3ed1fb48008b9b4e75c6f,907.9861870330462,10.0,1076.049500833094,5036,25959,P05_ALMOST_STRONGLY_CORRELATED,25,0.1
0521b86e1b1c84f33eeff96901709e8796847d4276d05d1613ea5327fe9451e8,1015.652441537617,10.0,1189.6948549667536,4851,24730,P05_ALMOST_STRONGLY_CORRELATED,25,0.1
52534b2b140de8c7e3dbb3929e13d2dc2482e98c417efd857af3988ab0b31a9b,1078.0584145275466,10.0,1275.405773056893,4726,24185,P05_ALMOST_STRONGLY_CORRELATED,25,0.1
3d79dbec13dfd6c4180312450329a7d866374cc0f810b9f1c9836786e1f0143c,1105.9222745163063,10.0,1306.0375903461522,4176,21198,P05_ALMOST_STRONGLY_CORRELATED,25,0.1
5c3ce722e3dc8d72a8ee6c781eca91d0291184a38c139eda1cdfc8e4a80bd69d,112.63131849856067,10.0,154.8826183326891,17462,48496,P05_ALMOST_STRONGLY_CORRELATED,25,0.2
fc8c15c1094e09e97d34c24586579fe99c4ed176e970db939489011dea8fe1ed,200.6377911389312,10.0,304.8741028839256,13658,35646,P05_ALMOST_STRONGLY_CORRELATED,25,0.2
f16b8dcb742186cc21bfd7a8e1cf2fdb4e551e1b0925e73c9d38e790330b85ef,278.8633363153005,10.0,397.7986781928261,12170,32894,P05_ALMOST_STRONGLY_CORRELATED,25,0.2
6d04c321866ed170c6a663c932a8c801f0be8544b7308e663e78d8e182a6c9cb,469.97216703269294,10.0,579.9218723242477,20197,50498,P05_ALMOST_STRONGLY_CORRELATED,25,0.2
3ad7aa76b6bc1857543ba43e11dceb564cfe64b2856b4ee6de346338105bc5ec,515.9189618187869,10.0,652.72971373834,16212,40495,P05_ALMOST_STRONGLY_CORRELATED,25,0.2
